source	target	lib	tfidfMax	tfidfDistances
0181IbnMubarak.Jihad.JK000549-ara1	38030.json	RAWrabicaShamAY3	0.88404	[0.88404]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.QasrAmal.Shamela0006899-ara1	RELEASE	0.88403	[0.88403]
0181IbnMubarak.Jihad.JK000549-ara1	0301AbuBakrFaryabi.Qadar.JK001214-ara1	RELEASE	0.88397	[0.88397]
0181IbnMubarak.Jihad.JK000549-ara1	13007.json	RAWrabicaShamAY2	0.88393	[0.88393]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.IshrafFiManazil.JK001039-ara1	RELEASE	0.88392	[0.88392]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.AmrBiMacruf.ShamAY0038103-ara1	RELEASE	0.8839	[0.8839]
0181IbnMubarak.Jihad.JK000549-ara1	6899.json	RAWrabicaShamAY1	0.88361	[0.88361]
0181IbnMubarak.Jihad.JK000549-ara1	0279Tirmidhi.ShamailMuhammadiyya.Shamela0013037-ara1	RELEASE	0.88347	[0.88347]
0181IbnMubarak.Jihad.JK000549-ara1	Shamela029728.txt	raw_ShamelaY19	0.8834	[0.8834]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.MaradWaKaffarat.Shamela0013064-ara1	RELEASE	0.88338	[0.88338]
0181IbnMubarak.Jihad.JK000549-ara1	0360Tabarani.MucjamKabir.ShamAY0033908-ara2	RELEASE	0.88337	[0.88337]
0181IbnMubarak.Jihad.JK000549-ara1	0303Nasai.CamalYawmWaLayla.JK000735-ara1	RELEASE	0.88336	[0.88336]
0181IbnMubarak.Jihad.JK000549-ara1	0282HarithHaythami.BughyaBahith.JK000483-ara1	RELEASE	0.88335	[0.88335]
0181IbnMubarak.Jihad.JK000549-ara1	33985.json	RAWrabicaShamAY2	0.88332	[0.88332]
0181IbnMubarak.Jihad.JK000549-ara1	0415CaliIbnBishranUmawi.Fawaid.Shamela0009383-ara1	RELEASE	0.8832	[0.8832]
0181IbnMubarak.Jihad.JK000549-ara1	33908.json	RAWrabicaShamAY2	0.88318	[0.88318]
0181IbnMubarak.Jihad.JK000549-ara1	0327AbuBakrKharaiti.MakarimAkhlaq.Shamela0009595-ara1	RELEASE	0.883	[0.883]
0181IbnMubarak.Jihad.JK000549-ara1	9595.bok.json	RAWrabicaSham19Y	0.88295	[0.88295]
0181IbnMubarak.Jihad.JK000549-ara1	9595.json	RAWrabicaShamAY1	0.88273	[0.88273]
0181IbnMubarak.Jihad.JK000549-ara1	0409CabdGhaniAzdi.Ghawamis.Shamela0026507-ara1	RELEASE	0.88266	[0.88266]
0181IbnMubarak.Jihad.JK000549-ara1	Shamela026507.txt	raw_ShamelaY19	0.88238	[0.88238]
0181IbnMubarak.Jihad.JK000549-ara1	8477.json	RAWrabicaShamAY1	0.88235	[0.88235]
0181IbnMubarak.Jihad.JK000549-ara1	0279IbnAbiKhaythama.TarikhKabir.Shamela0008477-ara1	RELEASE	0.88211	[0.88211]
0181IbnMubarak.Jihad.JK000549-ara1	0246HusaynMarwazi.BirrWaSila.JK000033-ara1	RELEASE	0.88178	[0.88178]
0181IbnMubarak.Jihad.JK000549-ara1	0381AbuQasimJawhari.MusnadMuwatta.Shamela0021479-ara1	RELEASE	0.88165	[0.88165]
0181IbnMubarak.Jihad.JK000549-ara1	38151.json	RAWrabicaShamAY3	0.88134	[0.88134]
0181IbnMubarak.Jihad.JK000549-ara1	29991.json	RAWrabicaShamAY2	0.88122	[0.88122]
0181IbnMubarak.Jihad.JK000549-ara1	0463KhatibBaghdadi.AsmaMubhama.Shamela0005815-ara1	RELEASE	0.88119	[0.88119]
0181IbnMubarak.Jihad.JK000549-ara1	5815.json	RAWrabicaShamAY1	0.88115	[0.88115]
0181IbnMubarak.Jihad.JK000549-ara1	26507.json	RAWrabicaShamAY2	0.88114	[0.88114]
